Index,Time(s),Original,Filtered
677,0.042312,-0.864353,0.847440
678,0.042375,-0.436618,0.906460
679,0.042438,-0.421831,0.938285
680,0.042500,-0.951064,0.941904
681,0.042562,-1.451966,0.917472
682,0.042625,-1.353074,0.865977
683,0.042688,-0.787870,0.788892
684,0.042750,-0.429774,0.688204
685,0.042813,-0.661312,0.566738
686,0.042875,-1.103657,0.428286
687,0.042937,-1.087187,0.277279
688,0.043000,-0.481731,0.118276
689,0.043063,0.138024,-0.044249
690,0.043125,0.197125,-0.205718
691,0.043187,-0.175633,-0.361261
692,0.043250,-0.312627,-0.505936
693,0.043313,0.162133,-0.635262
694,0.043375,0.862592,-0.745560
695,0.043437,1.111387,-0.833855
696,0.043500,0.770508,-0.897578
697,0.043563,0.406693,-0.934570
698,0.043625,0.587332,-0.943467
699,0.043688,1.176458,-0.924067
700,0.043750,1.500000,-0.877255
701,0.043812,1.176470,-0.804601
702,0.043875,0.587316,-0.708092
703,0.043938,0.406697,-0.590296
704,0.044000,0.770501,-0.454659
705,0.044062,1.111384,-0.305482
706,0.044125,0.862607,-0.147469
707,0.044188,0.162109,0.014736
708,0.044250,-0.312619,0.176610
709,0.044312,-0.175635,0.333508
710,0.044375,0.197117,0.480582
711,0.044438,0.138010,0.613143
712,0.044500,-0.481757,0.727184
713,0.044562,-1.087182,0.819567
714,0.044625,-1.103659,0.887805
715,0.044687,-0.661322,0.929802
716,0.044750,-0.429777,0.944000
717,0.044813,-0.787889,0.929802
718,0.044875,-1.353066,0.887804
719,0.044937,-1.451972,0.819566
720,0.045000,-0.951042,0.727182
721,0.045063,-0.421820,0.613141
722,0.045125,-0.436611,0.480578
723,0.045187,-0.864343,0.333503
724,0.045250,-1.035832,0.176605
725,0.045313,-0.574002,0.014729
726,0.045375,0.135404,-0.147476
727,0.045437,0.414838,-0.305490
728,0.045500,0.125336,-0.454667
729,0.045562,-0.167905,-0.590304
730,0.045625,0.100439,-0.708099
731,0.045688,0.791761,-0.804606
732,0.045750,1.228970,-0.877259
733,0.045812,1.027144,-0.924069
734,0.045875,0.564201,-0.943467
735,0.045938,0.510434,-0.934567
736,0.046000,0.998035,-0.897573
737,0.046062,1.455893,-0.833848
738,0.046125,1.313861,-0.745552
739,0.046188,0.706670,-0.635252
740,0.046250,0.309016,-0.505926
741,0.046312,0.504555,-0.361250
742,0.046375,0.915634,-0.205707
743,0.046437,0.873462,-0.044238
744,0.046500,0.248669,0.118287
745,0.046563,-0.383480,0.277289
746,0.046625,-0.447670,0.428295
747,0.046687,-0.072527,0.566746
748,0.046750,0.074211,0.688210
749,0.046813,-0.383662,0.788895
750,0.046875,-1.060662,0.865978
751,0.046937,-1.280091,0.917471
752,0.047000,-0.904849,0.941901
753,0.047063,-0.502618,0.938280
754,0.047125,-0.642014,0.906455
755,0.047187,-1.188268,0.847434
756,0.047250,-1.468582,0.763283
757,0.047313,-1.102730,0.656684
758,0.047375,-0.473511,0.530635
759,0.047438,-0.256195,0.388585
760,0.047500,-0.587773,0.234700
761,0.047562,-0.901872,0.073825
762,0.047625,-0.632524,-0.088987
763,0.047688,0.081610,-0.248949
764,0.047750,0.562787,-0.401606
765,0.047812,0.424790,-0.542585
766,0.047875,0.043598,-0.667513
767,0.047938,0.087087,-0.772362
768,0.048000,0.684554,-0.853948
769,0.048062,1.261623,-0.910101
770,0.048125,1.244578,-0.939412
771,0.048188,0.764446,-0.940945
